1	17885	50
11	117231	49
14	135408	47
15	142447	45
16	150669	43
17	158443	41
19	173928	39
20	180858	38
21	187263	37
22	194106	35
28	234147	34
30	245999	33
33	265505	32
34	272844	30
35	280733	28
37	295166	27
38	302136	26
41	322670	25
43	336579	24
45	348999	23
193	1409610	22
194	1414993	21
301	2082222	19
304	2099800	18
585	3797683	17
605	3903022	16
647	4123172	15
998	6214068	14
1834	11157298	13
1838	11177737	12
1843	11201294	11
1887	11427939	10
1908	11533317	9
3019	17692755	8
3041	17791020	7
3722	21391585	5
3785	21674148	4
4568	25667178	3
13543	69308478	2
18448	93096403	1
31380	154690653	0
