1	48903	88
4	108451	82
19	350287	81
20	361618	78
22	384874	76
26	430941	73
27	441311	72
31	488432	71
39	592950	69
41	619454	68
44	652235	67
72	1017318	66
74	1038504	64
76	1059969	62
77	1070396	61
80	1101523	59
83	1132437	57
86	1163852	56
91	1218111	54
95	1256771	52
99	1296349	51
101	1314768	50
111	1415492	49
481	5581732	48
484	5610594	47
485	5620258	46
487	5641697	45
488	5651606	43
492	5690754	40
508	5841129	39
512	5873315	38
763	8648416	37
771	8720355	35
775	8759581	33
780	8813792	32
785	8861525	31
797	8976715	30
1610	17516471	29
1637	17749277	28
1641	17784081	27
1647	17840448	26
1648	17849302	25
1979	21138718	23
2009	21404832	22
2301	24297238	20
2318	24451428	19
2338	24620886	18
2345	24678189	17
2349	24710299	16
2385	25047051	15
2394	25129707	14
4033	40601658	13
4072	40908170	12
4094	41092031	11
12083	114512592	10
12893	121842874	9
12947	122271181	8
23568	212754946	7
27660	248182146	6
27682	248338897	5
32401	284680513	4
38946	333438474	3
210780	1592797857	2
227863	1722850144	1
874335	6232918925	0
