1	16413	69
3	41561	45
101	954409	42
102	962480	41
103	969950	40
106	992721	39
108	1007395	37
121	1107452	36
130	1175149	34
139	1242720	33
231	1976224	32
312	2623178	29
320	2678736	28
523	4360925	27
538	4469854	26
539	4476753	25
549	4548388	23
552	4571408	22
1142	9040933	20
1416	10900978	19
1595	12195884	17
1602	12246518	16
1617	12344188	15
3644	26555860	13
4356	31262327	12
4416	31601593	11
4494	32055055	10
4520	32206641	9
4524	32228998	8
7876	54186294	7
13457	89730581	6
20482	138108439	5
32673	212127655	4
55624	342890707	3
202116	1151898860	2
468516	2557659110	1
1352681	7058241290	0
